time_iso8601,stars_cumulative
2026-07-21 00:00:00+00:00,5
2026-07-22 00:00:00+00:00,12
2026-07-23 00:00:00+00:00,13
2026-07-25 00:00:00+00:00,21
2026-07-26 00:00:00+00:00,22
2026-07-27 00:00:00+00:00,23
2026-07-28 00:00:00+00:00,31
2026-07-29 00:00:00+00:00,35
2026-07-30 00:00:00+00:00,37
2026-08-01 00:00:00+00:00,39
2026-08-02 00:00:00+00:00,40
2026-08-05 00:00:00+00:00,41
2026-08-06 00:00:00+00:00,42
2026-08-09 00:00:00+00:00,43
2026-08-11 00:00:00+00:00,44
2026-08-12 00:00:00+00:00,45
