referrer,views_total,views_unique
github.com,553,33
copperhead.sh,31,12
docs.copperhead.sh,16,7
Google,13,5
x.com,11,1
linkedin.com,4,2
t.co,3,2
4d7906f0.isolation.zscaler.com,2,1
app.copperhead.sh,1,1
