referrer,views_total,views_unique
github.com,340,87
copperhead.sh,247,104
docs.copperhead.sh,203,63
t.co,97,53
Google,59,32
linkedin.com,37,28
search.brave.com,26,2
chatgpt.com,16,14
Bing,15,2
symmetrical-giggle-rrgjgg97x9qfgp.github.dev,14,1
