referrer,views_total,views_unique
github.com,491,44
docs.copperhead.sh,15,7
Google,14,6
linkedin.com,8,5
copperhead.sh,7,6
devesh.cv,5,2
com.linkedin.android,4,2
t.co,2,2
lnkd.in,2,1
discord.com,1,1
