url_path,views_total,views_unique
/chouhanindustries/copperhead,259,74
/chouhanindustries/copperhead/pulls,191,18
/chouhanindustries/copperhead/issues,109,20
/chouhanindustries/copperhead/pull/236,86,6
/chouhanindustries/copperhead/pull/215,53,3
/chouhanindustries/copperhead/pull/193,39,6
/chouhanindustries/copperhead/issues/66,32,5
/chouhanindustries/copperhead/issues/235,28,7
/chouhanindustries/copperhead/pull/198,19,3
/chouhanindustries/copperhead/graphs/contributors,18,10
