referrer,views_total,views_unique
github.com,477,46
docs.copperhead.sh,16,8
linkedin.com,11,6
Google,11,5
copperhead.sh,5,4
devesh.cv,5,2
com.linkedin.android,4,2
t.co,2,2
lnkd.in,2,1
discord.com,1,1
