time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,46,25,79,19
2026-09-05 00:00:00+00:00,142,63,96,17
2026-09-06 00:00:00+00:00,87,38,133,54
2026-09-07 00:00:00+00:00,48,24,177,47
2026-09-08 00:00:00+00:00,249,111,549,239
2026-09-09 00:00:00+00:00,74,47,374,160
2026-09-10 00:00:00+00:00,68,34,174,94
2026-09-11 00:00:00+00:00,57,23,153,59
2026-09-12 00:00:00+00:00,47,18,81,42
2026-09-13 00:00:00+00:00,119,62,92,43
2026-09-14 00:00:00+00:00,85,32,103,41
2026-09-15 00:00:00+00:00,33,22,96,49
2026-09-16 00:00:00+00:00,87,44,218,39
2026-09-17 00:00:00+00:00,20,16,61,25
