referrer,views_total,views_unique
github.com,388,28
copperhead.sh,29,10
docs.copperhead.sh,13,7
x.com,11,1
Google,5,2
devesh.cv,4,1
linkedin.com,3,1
4d7906f0.isolation.zscaler.com,2,1
app.copperhead.sh,1,1
search.brave.com,1,1
