referrer,views_total,views_unique
github.com,382,82
copperhead.sh,251,102
docs.copperhead.sh,184,54
t.co,75,43
Google,66,29
linkedin.com,31,23
search.brave.com,26,2
Bing,15,2
symmetrical-giggle-rrgjgg97x9qfgp.github.dev,14,1
chatgpt.com,10,10
