referrer,views_total,views_unique
github.com,377,81
copperhead.sh,257,103
docs.copperhead.sh,189,57
t.co,76,43
Google,70,31
linkedin.com,31,23
search.brave.com,26,2
Bing,15,2
chatgpt.com,14,13
symmetrical-giggle-rrgjgg97x9qfgp.github.dev,14,1
