referrer,views_total,views_unique
github.com,416,87
copperhead.sh,248,100
docs.copperhead.sh,181,51
t.co,74,42
Google,71,30
linkedin.com,31,22
search.brave.com,26,2
Bing,15,2
symmetrical-giggle-rrgjgg97x9qfgp.github.dev,9,1
chatgpt.com,8,8
