referrer,views_total,views_unique
github.com,459,41
docs.copperhead.sh,15,8
linkedin.com,11,6
Google,11,5
x.com,11,1
devesh.cv,5,2
copperhead.sh,4,3
com.linkedin.android,3,1
t.co,2,2
lnkd.in,2,1
