referrer,views_total,views_unique
github.com,402,29
copperhead.sh,30,11
docs.copperhead.sh,16,7
x.com,11,1
linkedin.com,4,2
devesh.cv,4,1
Google,3,2
4d7906f0.isolation.zscaler.com,2,1
app.copperhead.sh,1,1
search.brave.com,1,1
