referrer,views_total,views_unique
github.com,348,82
copperhead.sh,256,102
docs.copperhead.sh,198,59
t.co,87,49
Google,68,31
linkedin.com,35,26
search.brave.com,26,2
chatgpt.com,15,14
Bing,15,2
symmetrical-giggle-rrgjgg97x9qfgp.github.dev,14,1
