referrer,views_total,views_unique
github.com,492,45
Google,17,6
copperhead.sh,15,8
docs.copperhead.sh,15,7
linkedin.com,8,5
devesh.cv,5,2
com.linkedin.android,4,2
t.co,2,2
lnkd.in,2,1
discord.com,1,1
